iter	Passed	Remaining
0	822	821643
1	1546	771787
2	2250	747797
3	2962	737767
4	3973	790700
5	5076	840959
6	5611	796018
7	6083	754331
8	6594	726077
9	7148	707665
10	7710	693243
11	8167	672422
12	8602	653094
13	9068	638667
14	9657	634192
15	10198	627210
16	10745	621322
17	11227	612537
18	11765	607484
19	12326	604013
20	12887	600822
21	13467	598682
22	14043	596542
23	14609	594104
24	15165	591471
25	15593	584148
26	16136	581502
27	16706	579965
28	17314	579745
29	17933	579845
30	18449	576682
31	19046	576166
32	19629	575190
33	20157	572714
34	20784	573056
35	21317	570848
36	21783	566952
37	22298	564500
38	22767	561013
39	23362	560704
40	23862	558158
41	24483	558445
42	24972	555777
43	25544	555019
44	26041	552661
45	26498	549557
46	26958	546620
47	27533	546087
48	28101	545397
49	28685	545023
50	29256	544394
51	29772	542773
52	30239	540320
53	30739	538510
54	31296	537733
55	31892	537611
56	32357	535317
57	32914	534584
58	33488	534107
59	34037	533259
60	34656	533483
61	35275	533684
62	35876	533590
63	36507	533922
64	36998	532207
65	37553	531432
66	38003	529219
67	38651	529756
68	39055	526962
69	39596	526061
70	40044	523958
71	40609	523415
72	41318	524687
73	41995	525505
74	42581	525165
75	43213	525379
76	43723	524115
77	44291	523542
78	44754	521754
79	45204	519846
80	45709	518607
81	46316	518519
82	46815	517225
83	47278	515563
84	47796	514519
85	48354	513905
86	48913	513313
87	49459	512585
88	50033	512139
89	50597	511597
90	51135	510789
91	51627	509539
92	52231	509400
93	52749	508418
94	53322	507971
95	53894	507505
96	54371	506156
97	54953	505799
98	55538	505459
99	56133	505197
100	56805	505624
101	57459	505865
102	58024	505323
103	58539	504343
104	59172	504376
105	59733	503789
106	60131	501843
107	60731	501601
108	61188	500177
109	61669	498962
110	62130	497601
111	62607	496387
112	63200	496096
113	63655	494725
114	64193	494010
115	64819	493965
116	65419	493723
117	65987	493231
118	66563	492795
119	67183	492679
120	67825	492716
121	68299	491534
122	68762	490281
123	69207	488918
124	69741	488191
125	70284	487527
126	70803	486704
127	71272	485546
128	71827	484971
129	72424	484685
130	72951	483931
131	73502	483334
132	74079	482906
133	74550	481799
134	75032	480763
135	75464	479418
136	75915	478212
137	76493	477807
138	77109	477636
139	77723	477442
140	78330	477203
141	78927	476899
142	79424	475993
143	79955	475289
144	80576	475120
145	81147	474654
146	81770	474489
147	82358	474116
148	82785	472821
149	83345	472291
150	83912	471798
151	84359	470634
152	84977	470431
153	85556	470007
154	86157	469696
155	86745	469313
156	87231	468384
157	87802	467909
158	88393	467542
159	89019	467354
160	89599	466921
161	90147	466320
162	90755	466024
163	91250	465157
164	91823	464683
165	92315	463804
166	92978	463781
167	93672	463900
168	94286	463623
169	94778	462742
170	95282	461926
171	95762	460995
172	96463	461129
173	96995	460447
174	97468	459492
175	98211	459809
176	98804	459411
177	99643	460151
178	100316	460112
179	100892	459623
180	101618	459807
181	102114	458952
182	102758	458764
183	103383	458482
184	104082	458524
185	104872	458956
186	105850	460195
187	106482	459914
188	107148	459775
189	107835	459721
190	108512	459616
191	109191	459513
192	109813	459166
193	110422	458765
194	111035	458376
195	111779	458525
196	112703	459395
197	113561	459981
198	114513	460931
199	115249	460999
200	115959	460952
